timestamp,container_id,container_name,service_name,cpu_percent,memory_usage_bytes,memory_limit_bytes,memory_percent,network_rx_bytes,network_tx_bytes,block_read_bytes,block_write_bytes,pids
2026-02-14T00:38:50.603998,903f8259fc4263722d48c7c4de8df02a86a1e992d84d7cff3806139aecd373e5,docker-compose-carts-db-1,carts-db,0.42,60670607,8178691473,0.74,429056,523264,46451916,16986931,27
2026-02-14T00:38:50.603998,ca9e181b5f50e52678a185a1b31d81547d31a5c55d1f4a11a0af4d0eced0475e,docker-compose-catalogue-1,catalogue,0.0,4497342,8178691473,0.05,576512,2841640,11534336,0,29
2026-02-14T00:38:50.603998,1580cbab975b17d2771216109621c3305479c3f28ac834a07614638c33a60bad,docker-compose-payment-1,payment,0.0,2400190,8178691473,0.03,4925,126,7885291,0,8
2026-02-14T00:38:50.603998,cad6733795d5db4e9d14c1e2ce739a03d5bb8e23470fb6472da5d9ffb28aa6b8,docker-compose-rabbitmq-1,rabbitmq,4.47,121005670,8178691473,1.48,59494,53248,39636172,92262,417
2026-02-14T00:38:50.603998,c484df14cf9555595101fed9083252b3cd2b567a826a04fb6a950245ced177c5,docker-compose-user-db-1,user-db,0.6,35934699,8178691473,0.44,206848,182272,38377881,13946060,19
2026-02-14T00:38:50.603998,22cb0d5864c6e2dd1385233dfc44903591970819d2f4a1eef2c5555ae1592630,docker-compose-catalogue-db-1,catalogue-db,0.08,214119219,8178691473,2.62,91545,466944,39216742,13946060,30
2026-02-14T00:38:50.603998,5cd7aa3b9c45ba85c778862afcfa1d65621a7c0ebca6f7162b9dd8fbb75fbfbe,docker-compose-user-1,user,0.0,4742709,8178691473,0.06,188416,203776,9332326,0,29
2026-02-14T00:38:50.603998,e056e055703b3e50e33a476b5cc2294cee18b03c5536329e5270bccd01106bf7,docker-compose-orders-db-1,orders-db,0.83,35766927,8178691473,0.44,207872,290816,726016,16148070,21
2026-02-14T00:38:50.603998,660e3a83c6c08d30a2a0775de2ecfc85323e2ec44171d0b661e398cdb6bc7b0e,docker-compose-queue-master-1,queue-master,0.13,700239052,8178691473,8.56,58572,55091,28940697,0,51
2026-02-14T00:38:50.603998,67f287b39ebd4e5e0d2d3c035a8c2d6f8e9be96929cad0a1c38c390d207ecb0f,docker-compose-front-end-1,front-end,0.0,72037171,8178691473,0.88,3596615,10338959,31352422,0,21
2026-02-14T00:38:50.603998,0bf13c000e982375740c42dbb4184c1a1f4ae83b659aeb13ab6e30ff9f52e84b,docker-compose-carts-1,carts,0.16,407057203,8178691473,4.98,582656,480256,28730982,0,84
2026-02-14T00:38:50.603998,8656ebe60cc49d97d04ebabf7b5f31a285230710121dbbaac4f880e685f01ff2,docker-compose-shipping-1,shipping,0.18,389126553,8178691473,4.76,4833,126,19398656,0,72
2026-02-14T00:38:50.603998,e9bd4023941beabde75e101671ae3fbaab7c25acd1d39521251d28a21bbd1c23,docker-compose-edge-router-1,edge-router,0.04,7352614,8178691473,0.09,10905190,10905190,14575206,0,31
2026-02-14T00:38:50.603998,f8eacc8ae718d74510cdadf203f01b663418694f0b7432d83262e35e339facd2,docker-compose-orders-1,orders,0.17,392691712,8178691473,4.8,296960,203776,38063308,0,74
2026-02-14T00:38:50.603998,d8ca37375dd7630359e05e9c47efadc82552c88bd94b52b4b0d9db1be3cb3976,phca_telegraf,phca_telegraf,0.15,30985420,8178691473,0.38,7362,252,128974848,0,14
2026-02-14T00:38:50.603998,4f632a9c959096a6c33d0cb7bc1ebd8f67e96fa5ec15c4fdfd1df23c494d4779,phca_grafana,phca_grafana,0.68,90796195,8178691473,1.11,5169479,13946060,305135616,19084083,20
2026-02-14T00:38:50.603998,09aca02505b85dacf851f8d02eb93c057662f5b3a9c6be596b590d839d87a43f,phca_influxdb,phca_influxdb,0.05,64434995,8178691473,0.79,470016,15833497,121634816,494592,25
2026-02-14T00:38:58.490636,903f8259fc4263722d48c7c4de8df02a86a1e992d84d7cff3806139aecd373e5,docker-compose-carts-db-1,carts-db,0.36,60146319,8178691473,0.74,429056,523264,46451916,16986931,27
2026-02-14T00:38:58.490636,ca9e181b5f50e52678a185a1b31d81547d31a5c55d1f4a11a0af4d0eced0475e,docker-compose-catalogue-1,catalogue,0.0,4497342,8178691473,0.05,576512,2841640,11534336,0,29
2026-02-14T00:38:58.490636,1580cbab975b17d2771216109621c3305479c3f28ac834a07614638c33a60bad,docker-compose-payment-1,payment,0.01,2400190,8178691473,0.03,4925,126,7885291,0,8
2026-02-14T00:38:58.490636,cad6733795d5db4e9d14c1e2ce739a03d5bb8e23470fb6472da5d9ffb28aa6b8,docker-compose-rabbitmq-1,rabbitmq,5.55,120795955,8178691473,1.48,59596,53350,39636172,92262,417
2026-02-14T00:38:58.490636,c484df14cf9555595101fed9083252b3cd2b567a826a04fb6a950245ced177c5,docker-compose-user-db-1,user-db,0.44,35431383,8178691473,0.43,206848,182272,38377881,13946060,19
2026-02-14T00:38:58.490636,22cb0d5864c6e2dd1385233dfc44903591970819d2f4a1eef2c5555ae1592630,docker-compose-catalogue-db-1,catalogue-db,0.07,214119219,8178691473,2.62,91545,466944,39216742,13946060,30
2026-02-14T00:38:58.490636,5cd7aa3b9c45ba85c778862afcfa1d65621a7c0ebca6f7162b9dd8fbb75fbfbe,docker-compose-user-1,user,0.0,4742709,8178691473,0.06,188416,203776,9332326,0,29
2026-02-14T00:38:58.490636,e056e055703b3e50e33a476b5cc2294cee18b03c5536329e5270bccd01106bf7,docker-compose-orders-db-1,orders-db,0.35,35525754,8178691473,0.43,207872,290816,726016,16148070,21
2026-02-14T00:38:58.490636,660e3a83c6c08d30a2a0775de2ecfc85323e2ec44171d0b661e398cdb6bc7b0e,docker-compose-queue-master-1,queue-master,0.13,700239052,8178691473,8.56,58675,55091,28940697,0,51
2026-02-14T00:38:58.490636,67f287b39ebd4e5e0d2d3c035a8c2d6f8e9be96929cad0a1c38c390d207ecb0f,docker-compose-front-end-1,front-end,0.0,72047656,8178691473,0.88,3596615,10338959,31352422,0,21
2026-02-14T00:38:58.490636,0bf13c000e982375740c42dbb4184c1a1f4ae83b659aeb13ab6e30ff9f52e84b,docker-compose-carts-1,carts,0.14,407057203,8178691473,4.98,582656,480256,28730982,0,84
2026-02-14T00:38:58.490636,8656ebe60cc49d97d04ebabf7b5f31a285230710121dbbaac4f880e685f01ff2,docker-compose-shipping-1,shipping,0.14,389126553,8178691473,4.76,4833,126,19398656,0,72
2026-02-14T00:38:58.490636,e9bd4023941beabde75e101671ae3fbaab7c25acd1d39521251d28a21bbd1c23,docker-compose-edge-router-1,edge-router,0.03,7352614,8178691473,0.09,10905190,10905190,14575206,0,31
2026-02-14T00:38:58.490636,f8eacc8ae718d74510cdadf203f01b663418694f0b7432d83262e35e339facd2,docker-compose-orders-1,orders,0.16,392691712,8178691473,4.8,296960,203776,38063308,0,74
2026-02-14T00:38:58.490636,d8ca37375dd7630359e05e9c47efadc82552c88bd94b52b4b0d9db1be3cb3976,phca_telegraf,phca_telegraf,0.12,30985420,8178691473,0.38,7362,252,128974848,0,14
2026-02-14T00:38:58.490636,4f632a9c959096a6c33d0cb7bc1ebd8f67e96fa5ec15c4fdfd1df23c494d4779,phca_grafana,phca_grafana,0.53,91058339,8178691473,1.11,5169479,13946060,305135616,19084083,20
2026-02-14T00:38:58.490636,09aca02505b85dacf851f8d02eb93c057662f5b3a9c6be596b590d839d87a43f,phca_influxdb,phca_influxdb,0.08,64434995,8178691473,0.79,470016,15833497,121634816,494592,25
